Team,LogoURL,PriColour,SecColour
Fulham,https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg,#808080,#000000
Gainsborough Trinity,https://upload.wikimedia.org/wikipedia/en/f/f4/Gainsborough_Trinity_FC_crest.svg,#21418C,#FFE500
Gateshead,https://upload.wikimedia.org/wikipedia/en/b/b3/Gateshead_FC.svg,#D3D3D3,#000000
Gillingham,https://upload.wikimedia.org/wikipedia/en/5/5e/FC_Gillingham_Logo.svg,#1A5DAD,#231F20
Glossop North End,https://upload.wikimedia.org/wikipedia/en/5/5e/GNE_afc_badge.png,#1E4D8C,#808080
Grimsby Town,https://upload.wikimedia.org/wikipedia/en/d/db/Grimsby_Town_F.C._logo.svg,#000000,#808080
Halifax Town,https://upload.wikimedia.org/wikipedia/en/e/e5/FC_Halifax_Town_crest.svg,#1F3856,#B89C50
Harrogate Town,https://upload.wikimedia.org/wikipedia/en/4/40/Harrogate_Town_AFC.svg,#FFD700,#000000
Hartlepool United,https://upload.wikimedia.org/wikipedia/en/4/42/Hartlepool_United_FC_crest.svg,#1B73D1,#808080
Hereford United,https://upload.wikimedia.org/wikipedia/en/7/75/Hereford_United_FC.svg,#E52421,#808080
Huddersfield Town,https://upload.wikimedia.org/wikipedia/en/4/43/Huddersfield_Town_AFC_crest.svg,#0072CE,#808080
Hull City,https://upload.wikimedia.org/wikipedia/en/5/54/Hull_City_A.F.C._logo.svg,#F5A12D,#000000
Ipswich Town,https://upload.wikimedia.org/wikipedia/en/4/43/Ipswich_Town.svg,#66A8CC,#E40520
Kidderminster Harriers,https://upload.wikimedia.org/wikipedia/en/6/6e/Kidderminster_Harriers_FC_crest.svg,#EB2D2E,#808080
Leeds City,https://upload.wikimedia.org/wikipedia/en/9/9b/Leeds_old_arms.png,#FFE100,#005FAA
Leeds United,https://upload.wikimedia.org/wikipedia/en/5/54/Leeds_United_F.C._logo.svg,#FFE100,#005FAA
Leicester City,https://upload.wikimedia.org/wikipedia/en/2/2d/Leicester_City_crest.svg,#0053A0,#FDBE11
Leyton Orient,https://upload.wikimedia.org/wikipedia/en/a/a8/Leyton_Orient_F.C._logo.svg,#E20714,#1D1D1B
Lincoln City,https://upload.wikimedia.org/wikipedia/en/3/39/Lincoln_City_FC_2024_crest.svg,#FF0000,#000000
Liverpool,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg,#D10022,#00A499
Loughborough,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Luton Town,https://upload.wikimedia.org/wikipedia/en/9/9d/Luton_Town_logo.svg,#F08008,#2E1C94
Macclesfield Town,https://upload.wikimedia.org/wikipedia/en/7/75/Macclesfield_FC_crest.svg,#CEB888,#1A2341
Maidstone United,https://upload.wikimedia.org/wikipedia/en/b/b8/Maidstone_United_FC_crest.svg,#FF9700,#181818
Manchester City,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg,#84BBFF,#808080
Manchester United,https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg,#D9020D,#000000
Mansfield Town,https://upload.wikimedia.org/wikipedia/en/7/7d/Mansfield_Town_FC.svg,#F5B803,#1B48B8
Merthyr Town,https://upload.wikimedia.org/wikipedia/en/4/42/Merthyr_Town_FC_crest.svg,#2D2E2F,#808080
Middlesbrough,https://upload.wikimedia.org/wikipedia/en/2/2c/Middlesbrough_FC_crest.svg,#FF0000,#808080
Middlesbrough Ironopolis,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Millwall,https://upload.wikimedia.org/wikipedia/en/9/98/Millwall_FC_crest.svg,#00194A,#808080
Milton Keynes Dons,https://upload.wikimedia.org/wikipedia/en/e/e5/Milton_Keynes_Dons_FC_2025_crest.svg,#EEE8AA,#000000
Morecambe,https://upload.wikimedia.org/wikipedia/en/e/ee/Morecambe_FC_crest.svg,#E3011C,#808080
Nelson,https://upload.wikimedia.org/wikipedia/en/9/94/Nelson_FC_Logo.png,#000000,#808080
New Brighton,https://upload.wikimedia.org/wikipedia/en/a/ac/New_Brighton_AFC_crest.jpg,#000000,#808080
New Brighton Tower,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Newcastle United,https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg,#000000,#808080
Newport County,https://upload.wikimedia.org/wikipedia/en/4/44/Newport_County_AFC_crest.svg,#EBA10C,#000000
Northampton Town,https://upload.wikimedia.org/wikipedia/en/2/2d/Northampton_Town_F.C._logo.svg,#990000,#808080
Northwich Victoria,https://upload.wikimedia.org/wikipedia/en/1/15/Northwich.png,#26388F,#F1CA3E
Norwich City,https://upload.wikimedia.org/wikipedia/en/1/17/Norwich_City_FC_logo.svg,#009900,#FFFF00
Nottingham Forest,https://upload.wikimedia.org/wikipedia/en/e/e5/Nottingham_Forest_F.C._logo.svg,#C8102E,#808080
Notts County,https://upload.wikimedia.org/wikipedia/en/2/2e/Notts_County_Logo.svg,#000000,#808080
Oldham Athletic,https://upload.wikimedia.org/wikipedia/en/a/a2/Oldham_Athletic_AFC_%28emblem%29.svg,#004A97,#808080
Oxford United,https://upload.wikimedia.org/wikipedia/en/3/3e/Oxford_United_FC_logo.svg,#FFFF00,#0000FF
Peterborough United,https://upload.wikimedia.org/wikipedia/en/9/9a/Peterborough_United_FC_crest.svg,#338AD6,#808080
Plymouth Argyle,https://upload.wikimedia.org/wikipedia/en/a/a8/Plymouth_Argyle_F.C._logo.svg,#004F3E,#808080
Port Vale,https://upload.wikimedia.org/wikipedia/en/5/5f/Port_Vale_logo.svg,#000000,#808080
Portsmouth,https://upload.wikimedia.org/wikipedia/en/3/38/Portsmouth_FC_logo.svg,#0754ED,#808080
Preston North End,https://upload.wikimedia.org/wikipedia/en/8/82/Preston_North_End_FC.svg,#002156,#808080
Queens Park Rangers,https://upload.wikimedia.org/wikipedia/en/3/31/Queens_Park_Rangers_crest.svg,#0066FF,#808080
Reading,https://upload.wikimedia.org/wikipedia/en/1/11/Reading_FC.svg,#0000FF,#808080
Rochdale,https://upload.wikimedia.org/wikipedia/en/b/bb/Rochdale_AFC_crest.svg,#0000FF,#000000
Rotherham County,https://upload.wikimedia.org/wikipedia/en/1/14/Rotherham_County_FC_crest.png,#DA291C,#808080
Rotherham Town,https://upload.wikimedia.org/wikipedia/en/b/be/Rotherham_Town_FC_crest.png,#DA291C,#808080
Rotherham United,https://upload.wikimedia.org/wikipedia/en/4/42/Rotherham_United_F.C._svg.svg,#FF0000,#808080
Rushden & Diamonds,https://upload.wikimedia.org/wikipedia/en/e/e3/AFC_Rushden_and_Diamonds_logo.png,#EB172B,#808080
Salford City,https://upload.wikimedia.org/wikipedia/en/7/70/Salford_City_F.C._new_logo.svg,#FE5900,#000000
Scarborough,https://upload.wikimedia.org/wikipedia/en/9/9a/Scarborough_FC_crest.svg,#8C1B28,#231F20
Scunthorpe United,https://upload.wikimedia.org/wikipedia/en/b/b3/Scunthorpe_United_FC_crest.svg,#A83249,#00ACDD
Sheffield United,https://upload.wikimedia.org/wikipedia/en/9/9c/Sheffield_United_FC_logo.svg,#EC2227,#010101
Sheffield Wednesday,https://upload.wikimedia.org/wikipedia/en/8/88/Sheffield_Wednesday_badge.svg,#005DAA,#808080
Shrewsbury Town,https://upload.wikimedia.org/wikipedia/en/1/1b/Shrewsbury_Town_F.C._logo.svg,#1D1DE0,#E6BD17
South Shields,https://upload.wikimedia.org/wikipedia/en/8/81/South_Shields_F.C._New_Crest.png
Southend United,https://upload.wikimedia.org/wikipedia/en/7/79/Southend_United.svg
Southampton,https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Southampton.svg
Southport,https://upload.wikimedia.org/wikipedia/en/3/35/Southport_FC_crest.svg
Stalybridge Celtic,https://upload.wikimedia.org/wikipedia/en/c/c7/StalybridgeCeltic.png
Stevenage,https://upload.wikimedia.org/wikipedia/en/4/49/Stevenage_FC_crest.svg
Stockport County,https://upload.wikimedia.org/wikipedia/en/4/43/Stockport_County_FC_logo_2020.svg
Stoke City,https://upload.wikimedia.org/wikipedia/en/b/bf/Stoke_City_FC_crest_2026.svg
Sunderland,https://upload.wikimedia.org/wikipedia/en/7/77/Logo_Sunderland.svg
Sutton United,https://upload.wikimedia.org/wikipedia/en/e/eb/Sutton_United_FC_crest.svg
Swansea City,https://upload.wikimedia.org/wikipedia/en/f/f9/Swansea_City_AFC_logo.svg
Swindon Town,https://upload.wikimedia.org/wikipedia/en/a/a3/Swindon_Town_FC.svg
Thames,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png
Torquay United,https://upload.wikimedia.org/wikipedia/commons/b/b9/TUFC_125.png
Tottenham Hotspur,https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
Tranmere Rovers,https://upload.wikimedia.org/wikipedia/en/5/55/Tranmere_Rovers_FC_crest.svg
Walsall,https://upload.wikimedia.org/wikipedia/en/e/ef/Walsall_FC.svg
Watford,https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg
West Bromwich Albion,https://upload.wikimedia.org/wikipedia/en/8/8b/West_Bromwich_Albion.svg
West Ham United,https://upload.wikimedia.org/wikipedia/en/c/c2/West_Ham_United_FC_logo.svg
Wigan Athletic,https://upload.wikimedia.org/wikipedia/en/4/43/Wigan_Athletic.svg
Wigan Borough,https://upload.wikimedia.org/wikipedia/en/5/52/Wigan_Borough_FC_crest.png
Wimbledon,https://upload.wikimedia.org/wikipedia/en/b/b3/Wimbledon_FC_crest.svg
Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/f/fc/Wolverhampton_Wanderers.svg
Workington,https://upload.wikimedia.org/wikipedia/en/f/fe/Workington_AFC_crest.svg
Wrexham,https://upload.wikimedia.org/wikipedia/en/0/0d/Wrexham_A.F.C._Logo.svg
Wycombe Wanderers,https://upload.wikimedia.org/wikipedia/en/f/fb/Wycombe_Wanderers_FC_logo.svg
Yeovil Town,https://upload.wikimedia.org/wikipedia/en/5/5c/Yeovil_Town_FC_crest.svg
York City,https://upload.wikimedia.org/wikipedia/en/7/71/York_City_FC.svg







